titles,released,developers,publishers,genres
Betrayal in Antara,1997,Sierra Entertainment,Sierra Entertainment,"Role-playing (RPG), Adventure"
Beyond Divinity,2004,Larian Studios,CDV,Role-playing (RPG)
Beyond Good & Evil,2003,"Ubisoft Montpellier, Ubisoft Milan",Ubisoft,"Puzzle, Adventure"
Big Bang Beat,2007,NRF,AliceSoft,Fighting
Big Biz Tycoon,2002,Animedia,Activision Value,Simulator
Big Biz Tycoon 2,2003,4HEAD Studios,Activision Value,Simulator
Big Kahuna Reef,2004,Reflexive Entertainment,Reflexive Entertainment,"Puzzle, Strategy"
Big Money!,2002,PopCap Games,PopCap Games,Puzzle
Big Mutha Truckers,2002,Eutechnyx,Empire Interactive,Racing
Big Mutha Truckers 2,2005,Empire Interactive,THQ,Racing
Big Rigs: Over the Road Racing,2003,Stellar Stone,GameMill Publishing,Racing
Bigfoot: Collision Course,2008,Destination Games,Zoo Games,"Racing, Arcade"
Bikini Karate Babes,2002,Creative Edge Studios,Creative Edge Studios,Fighting
Billy Hatcher and the Giant Egg,2003,Sonic Team,Sega,Platform
Billy the Wizard: Rocket Broomstick Racing,2006,Data Design Interactive,"Conspiracy Entertainment, Data Design Interactive","Platform, Racing"
The Binding of Isaac: Rebirth,2014,Nicalis,Nicalis,"Shooter, Role-playing (RPG), Adventure, Arcade"
Bionic Commando,2009,Grin,Capcom,"Platform, Adventure, Arcade"
Bionic Commando Rearmed,2008,Grin,Capcom,"Platform, Arcade"
Bionicle,2003,Argonaut Games,"Lego Media, Electronic Arts",Shooter
Bionicle Heroes,2006,TT Games,Eidos Interactive,Shooter
BioShock,2007,2K Boston/2K Australia,2K Games,Shooter
BioShock 2,2010,2K Marin,2K Games,"Shooter, Adventure"
BioShock Infinite,2013,Irrational Games,2K Games,"Shooter, Adventure"
Birth of America,2006,SEP BOA,AGEOD,"Fighting, Role-playing (RPG), Strategy, Adventure"
Birthright: The Gorgons Alliance,1996,Synergistic Software,Sierra On-Line,"Role-playing (RPG), Strategy, Adventure"
Bittersweet Fools,2001,Minori,Minori,Adventure
The Bizarre Adventures of Woodruff and the Schnibble,1994,Coktel Vision,Sierra Entertainment,"Puzzle, Adventure"
Blacklight: Retribution,2012,Zombie Studios,EA Games,Shooter
Black & White,2001,Lionhead Studios,EA Games,"Adventure, Indie"
Black & White 2,2005,Lionhead Studios,EA Games,"Role-playing (RPG), Turn-based strategy (TBS), Adventure"
Black & White 2: Battle of the Gods,2006,Lionhead Studios,EA Games,"Real Time Strategy (RTS), Simulator, Strategy, Adventure"
Black & White: Creature Isle,2002,Lionhead Studios,Electronic Arts,"Simulator, Strategy"
Black Dahlia,1998,Take Two Interactive,Interplay Entertainment,"Point-and-click, Adventure"
Black the Fall,2017,Sand Sailor Studio,Square Enix,Puzzle
Black Mesa,2012,Black Mesa team,,"Shooter, Platform, Puzzle"
BlackSite: Area 51,2007,Midway Studios Austin,Midway,"Shooter, Adventure"
Blade Runner,1997,Westwood Studios,Virgin Interactive Entertainment,"Point-and-click, Adventure"
Blades of Avernum,2004,Spiderweb Software,Spiderweb Software,Adventure
Blasphemous,2019,The Game Kitchen,Team17,"Platform, Role-playing (RPG), ""Hack and slash/Beat em up"", Adventure, Indie"
Blaze and Blade: Eternal Quest,1998,T&E Soft,THQ,"Role-playing (RPG), ""Hack and slash/Beat em up"", Adventure"
Blazing Angels 2: Secret Missions of WWII,2007,Ubisoft Bucharest,Ubisoft,Simulator
Blazing Angels: Squadrons of WWII,2006,Ubisoft Bucharest,Ubisoft,Simulator
Bliss,2005,Games for Loving,Games for Loving,"Puzzle, Strategy"
Bliss Island,2006,PomPom Games,Codemasters,"Puzzle, Strategy"
Blitzkrieg,2003,Nival Interactive,CDV,Strategy
Blitzkrieg 2,2005,Nival Interactive,CDV,"Shooter, Role-playing (RPG), Simulator, Strategy, Indie"
Blockland,2007,"Eric ""Badspot"" Hartman, Ben Garney",Blockland LLC,"Puzzle, Adventure, Indie, Arcade"
Blood & Magic,1996,Tachyon Studios,Interplay Entertainment,"Role-playing (RPG), Adventure"
Blood Bowl,2009,Cyanide,Focus Home Interactive,"Real Time Strategy (RTS), Role-playing (RPG), Sport, Strategy, Turn-based strategy (TBS)"
Blood II: The Chosen,1998,Monolith Productions,GT Interactive,Adventure
Blood Omen: Legacy of Kain,1997,Silicon Knights,Crystal Dynamics,"""Hack and slash/Beat em up"", Adventure"
Blood Omen 2,2002,Crystal Dynamics,Eidos Interactive,Adventure
BloodRayne,2002,Terminal Reality,Majesco Entertainment,"Fighting, Platform, ""Hack and slash/Beat em up"", Adventure"
BloodRayne 2,2004,Terminal Reality,"Majesco Entertainment, THQ","Fighting, Platform, ""Hack and slash/Beat em up"", Adventure"
BlowOut,2004,Terminal Reality,Majesco Entertainment,"Fighting, Real Time Strategy (RTS), Sport, Strategy, Tactical"
Blue Heat: The Case of the Cover Girl Murders,1997,"Quarium Inc., MPCA Interactive","MPCA Interactive, Orion Interactive",Adventure
Blues Clues Kindergarten,2005,Atari,Atari,Point-and-click
Blueberry Garden,2009,Erik Svedäng,Valve,"Platform, Puzzle, Adventure, Indie"
Blur,2009,Bizarre Creations,Activision,"Shooter, Adventure, Indie"
Bode Miller Alpine Skiing,2006,49Games,Valcon Games,Sport
Boiling Point: Road to Hell,2005,Deep Shadows,Atari,"Shooter, Role-playing (RPG)"
Bolt,2008,Avalanche Software,Disney Interactive Studios,"Puzzle, Strategy, ""Hack and slash/Beat em up"", Indie"
Bone: Out from Boneville,2005,Telltale Games,Telltale Games,"Puzzle, Adventure"
Bone: The Great Cow Race,2006,Telltale Games,Telltale Games,Adventure
Bonnies Bookstore,2005,New Crayon Games,PopCap Games,"Puzzle, Strategy"
Boogie Bunnies,2008,Artech Studios,Sierra Online,Puzzle
The Book of Unwritten Tales,2009,King Art,HMH Interactive,"Point-and-click, Adventure, Indie"
Bookworm,2003,PopCap Games,PopCap Games,"Puzzle, Strategy"
Bookworm Adventures,2006,PopCap Games,PopCap Games,"Puzzle, Strategy"
Borderlands,2009,Gearbox Software,2K Games,Adventure
Botanicula,2012,Amanita Design,Amanita Design,"Point-and-click, Puzzle, Adventure, Indie"
Braid,2008,Number None,Number None,"Platform, Puzzle, Adventure, Indie"
Brain Exercise with Dr. Kawashima,2009,Namco Bandai,Namco Bandai,Puzzle
Brain Dead 13,1995,ReadySoft,ReadySoft,"Adventure, Arcade"
Bratz,2002,DC Studios,Ubisoft,Simulator
Bratz 4 Real,2007,Barking Lizards,THQ,Adventure
Bratz Babyz,2006,AWE Games,THQ,Adventure
Bratz: Forever Diamondz,2006,"Blitz Games, Barking Lizards Technologies",THQ,Adventure
Bratz: Rock Angelz,2005,"Blitz Games, AWE Games",THQ,"Simulator, Adventure"
Brawlhalla,2017,Blue Mammoth Games,Ubisoft,"Fighting, Platform, Indie, Arcade"
Breakout,2000,,,Indie
BreakQuest,2004,Nurium Games,"Stardock, Nurium Games, Red Marble Games","Puzzle, Simulator, Sport"
Breath of Fire IV,2003,Capcom,"Sourcenext, Capcom",Role-playing (RPG)
Breed,2004,Brat Designs,Cdv Software Entertainment,Shooter
Brian Lara Cricket 99,1998,Codemasters,Codemasters,Sport
Brian Lara International Cricket 2005,2005,Swordfish Studios,Codemasters,Sport
Brian Lara International Cricket 2007,2007,Codemasters,Codemasters,Sport
Brick Breaker,2016,Sanuk Games,Bigben Interactive S.A.,"Puzzle, Indie, Arcade"
Brigade E5: New Jagged Union,2005,Apeiron,1C Company,"Role-playing (RPG), Simulator, Strategy, Tactical, Adventure"
Brink,2010,Splash Damage,Bethesda Softworks,"Strategy, Indie"
Broken Sword II: The Smoking Mirror,1997,Revolution Software,Virgin Interactive Entertainment,"Point-and-click, Puzzle, Adventure"
Broken Sword: Shadow of the Templars – The Directors Cut,2010,Revolution Software,Kalypso Media,"Point-and-click, Puzzle, Adventure"
Broken Sword: The Angel of Death,2006,Revolution Software,THQ,"Point-and-click, Adventure, Indie"
Broken Sword: The Shadow of the Templars,1996,Revolution Software,Virgin Interactive Entertainment,"Point-and-click, Puzzle, Adventure"
Broken Sword: The Sleeping Dragon,2003,Revolution Software,THQ,"Point-and-click, Adventure"
Brothers in Arms: Earned in Blood,2005,Gearbox Software,Ubisoft,"Shooter, Strategy, Tactical"
Brothers in Arms: Hells Highway,2008,Gearbox Software,Ubisoft,"Shooter, Strategy"
Brothers in Arms: Road to Hill 30,2005,Gearbox Software,Ubisoft,"Shooter, Simulator, Strategy, Tactical"
Brunswick Circuit Pro Bowling,1998,"Adrenalin Entertainment, Point of View",THQ,Sport
Brutish Mine,2000,Illusion,Illusion,Role-playing (RPG)
Bubsy 3D: Bubsy Visits the James Turrell Retrospective,2013,Arcane Kids,"Arcane Kids, Phelios",Platform
Bubsy: Paws on Fire!,2019,Choice Provisions,Accolade,Platform
Bug!,1995,Realtime Associates,Sega,"Shooter, Arcade"
Bug Too!,1997,Realtime Associates,Sega,"Platform, Arcade"
"Bugs Life, A",1998,Disney Interactive,Disney Interactive,"Platform, Adventure"
Bugs Bunny & Taz: Time Busters,2000,Artificial Mind and Movement,Infogrames,Platform
Bugs Bunny: Lost in Time,1999,Behaviour Interactive,Infogrames,"Platform, Adventure"
Build-a-lot,2007,HipSoft,,Simulator
Buku Sudoku,2006,Absolutist,Merscom,Puzzle
Bully,2006,Rockstar Vancouver,Rockstar Games,Adventure
Burnout Paradise,2008,Criterion Games,Electronic Arts,"Racing, Simulator"
Bus Driver,2007,SCS Software,SCS Software,"Racing, Simulator, Indie"
Byzantine: The Betrayal,1997,"Discovery Channel Multimedia, Stormfront Studios",Discovery Communications,"Point-and-click, Puzzle, Adventure"
C-Dogs SDL,2016,Ronny Wester,Ronny Wester,"Shooter, Indie, Arcade"
C-evo,1999,Steffen Gerlach,,Turn-based strategy (TBS)
Cabal Online,2005,ESTsoft Corp.,"OGPlanet, Moliyo, Games-Masters, Asiasoft Online, E-Games","Fighting, Role-playing (RPG)"
Cabelas 4x4 Off-Road Adventure,2001,FUN Labs,"Activision Publishing, Inc.","Racing, Sport"
Cabelas 4x4 Off-Road Adventure 3,2003,FUN Labs,Activision,"Racing, Sport"
Cabelas African Safari,2006,"Sand Grain Studios, Magic Wand Productions, FUN Labs",Activision Value,"Shooter, Simulator, Sport"
Cabelas Alaskan Adventures,2006,"Sand Grain Studios, Magic Wand Productions, FUN Labs",Activision,"Shooter, Simulator, Sport, Adventure"
Cabelas Big Game Hunter,1998,Elsinore Multimedia,"HeadGames Publishing, Inc.",Shooter
Cabelas Big Game Hunter II,1998,"HeadGames Publishing, Inc.","HeadGames Publishing, Inc.",Sport
Cabelas Big Game Hunter II: Open Season,1998,"HeadGames Publishing, Inc.","HeadGames Publishing, Inc.",Sport
Cabelas Big Game Hunter III,1999,HeadGames Publishing,HeadGames Publishing,Sport
Cabelas Big Game Hunter III: The Next Harvest,1999,Elsinore Multimedia,"Activision Publishing, Inc.",Sport
Cabelas Big Game Hunter 4,2000,Elsinore Multimedia Inc.,Activision,"Simulator, Sport, Adventure"
Cabelas Big Game Hunter 6,2002,nFusion Interactive LLC,"Activision Value Publishing, Inc.",Sport
Cabelas Big Game Hunter: 2004 Season,2003,Sand Grain Studios,"Activision Publishing, Inc.",Sport
Cabelas Big Game Hunter 2005 Adventures,2004,"Magic Wand Productions, FUN Labs, Sand Grain Studios, Torus Games","Activision Value, Zoo Digital Publishing","Shooter, Simulator, Sport, Adventure"
Cabelas Big Game Hunter 2006 Trophy Season,2005,Magic Wand Productions,Activision Value,"Shooter, Sport"
Cabelas Dangerous Hunts,2003,FUN Labs,Activision Value,"Shooter, Simulator, Sport"
Cabelas Dangerous Hunts 2,2005,Sand Grain Studios,"Activision, Zoo Digital Publishing","Shooter, Simulator, Sport"
Cabelas Deer Hunt: 2005 Season,2004,Magic Wand Productions,Activision,"Shooter, Simulator, Sport"
Cabelas Outdoor Adventures,2005,"Sand Grain Studios, Fun Labs, Magic Wand Productions","Activision, Zoo Digital Publishing","Shooter, Sport"
Cabelas Ultimate Deer Hunt,2001,nFusion Interactive,"Activision Publishing, Inc.",Sport
Cabelas Ultimate Deer Hunt 2,2002,"Sylum Entertainment, Ltd.","Activision Publishing, Inc.","Shooter, Sport"
Caesar II,1995,Impressions Games,Sierra Entertainment,"Strategy, Card & Board Game"
Caesar III,1999,Impressions Games,Sierra Entertainment,"Simulator, Strategy"
Caesar IV,2006,Tilted Mill Entertainment,Sierra Entertainment,"Simulator, Strategy"
Call for Heroes: Pompolic Wars,2007,Quotix Software,Strategy First,Role-playing (RPG)
Call of Cthulhu: Dark Corners of the Earth,2005,Headfirst Productions,Bethesda Softworks,"Shooter, Adventure"
Call of Duty,2003,Infinity Ward,Activision,Shooter
Call of Duty 2,2005,Infinity Ward,Activision,Shooter
Call of Duty 4: Modern Warfare,2007,Infinity Ward,Activision,Shooter
Call of Duty: Black Ops IIII,2018,Treyarch,Activision,Shooter
Call of Duty: Modern Warfare 2,2009,Infinity Ward,Activision,Shooter
Call of Duty: Modern Warfare 3,2011,"Infinity Ward, Sledgehammer Games, Raven Software",Activision,Shooter
Call of Duty: United Offensive,2004,Gray Matter Interactive,"Activision, Aspyr",Shooter
Call of Duty: World at War,2008,"Treyarch Invention, LLC",Activision,Shooter
Call of Juarez,2006,Techland,Ubisoft,"Shooter, Adventure, Arcade"
Call of Juarez: Bound in Blood,2009,Techland,Ubisoft,"Shooter, Adventure"
Call to Power II,2000,Activision,Activision,"Strategy, Turn-based strategy (TBS)"
The Cameron Files: Pharaohs Curse,2002,Galilea,The Adventure Company,Adventure
The Cameron Files: Secret at Loch Ness,2001,Galilea,Wanadoo Edition,"Point-and-click, Adventure"
Candy Crush Saga,2015,King,King,"Puzzle, Arcade"
Candy Crush Soda Saga,2015,King,King,"Puzzle, Arcade"
Candy Crush Jelly Saga,2016,King,King,"Puzzle, Arcade"
Capitalism II,2001,Enlight,Ubisoft,"Role-playing (RPG), ""Hack and slash/Beat em up"""
Captain Quazar,1996,"Cyclone Studios, 3DO",3DO,Shooter
Captain Tsubasa: Rise of New Champions,2020,Tamsoft,Bandai Namco Entertainment,Sport
Car Tycoon,2003,Vectorcom Development,Fishtank Interactive,"Racing, Simulator, Strategy"
Carmageddon,1997,Stainless Software Ltd.,SCi Games Ltd.,"Racing, Simulator"
Carmageddon Max Pack,1997,Stainless Software Ltd.,SCi Games Ltd.,"Racing, Indie"
Carmageddon Splat Pack,1997,Stainless Software Ltd.,SCi Games Ltd.,Racing
Carmageddon II: Carpocalypse Now,1998,Stainless Software Ltd.,SCi Games Ltd.,"Racing, Indie"
Carmageddon TDR 2000,2000,Torus Games,"SCi, Xicat Interactive, Inc.","Racing, Indie"
Carnivores,1998,Action Forms,WizardWorks,"Shooter, Simulator, Sport"
Carnivores 2,1999,Action Forms,WizardWorks,"Shooter, Simulator, Sport"
Carnivores Ice Age,2001,Action Forms,WizardWorks,"Shooter, Simulator, Sport"
Carnivores: Cityscape,2002,Sunstorm Interactive,Infogrames,Shooter
Cars,2006,"Rainbow Studios, Pacific Coast Power & Light, Capybara Games",THQ,"Racing, Arcade"
Cars Mater-National Championship,2007,Rainbow Studios,THQ,Racing
Cars: Radiator Springs Adventures,2006,Beenox,THQ,"Racing, Adventure"
Casino Empire,2002,Sierra Entertainment,Sierra Entertainment,Simulator
Casino Mogul,2002,Monte Cristo,DreamCatcher Interactive,Strategy
Casino Tycoon,2001,Cat Daddy Games,"Monte Cristo, Davilex Games","Simulator, Strategy, Indie"
"Casino, Inc.",2003,Hothouse Creations,Konami,"Simulator, Strategy"
Casper Brainy Book,1995,Knowledge Adventure,Knowledge Adventure,Point-and-click
Castle of Shikigami III,2006,"Alfa System, SKONEC",Cyberfront Corporation,Shooter
Castle Shikigami 2,2003,Alfa System,"Kids Station, Taito, SourceNext, XS Games, Play It Games",Shooter
Castlevania,2002,Konami,Konami,"Platform, Adventure"
Castlevania: Lords of Shadow,2014,"MercurySteam, Kojima Productions",Konami,"Role-playing (RPG), ""Hack and slash/Beat em up"", Adventure"
Castlevania: Lords of Shadow 2,2014,MercurySteam,Konami,"""Hack and slash/Beat em up"", Adventure"
Castlevania: Lords of Shadow – Mirror of Fate,2014,MercurySteam,Konami,"Platform, Adventure"
Cat Quest,2017,The Gentlebros,PQube,"Role-playing (RPG), Adventure, Indie"
Catwoman,2004,"Electronic Arts, Argonaut Games, Magic Pockets",Electronic Arts,"""Hack and slash/Beat em up"", Adventure"
Caucasus: Nanatsuki no Nie,2009,Innocent Grey,Innocent Grey,Visual Novel
Cave Story,2004,Studio Pixel,Studio Pixel,"Role-playing (RPG), ""Hack and slash/Beat em up"", Indie"
Celebrity Deathmatch,2003,Big Ape Productions,Gotham Games,Fighting
CellFactor: Revolution,2007,"Immersion Games, Timeline Interactive, Artificial Studios","Immersion Games, Timeline Interactive, Artificial Studios",Shooter
Centipede,1998,"Atari, Leaping Lizard",Hasbro Interactive,Shooter
Ceville,2009,Realmforge Studios,Kalypso Media,"Point-and-click, Strategy, Adventure"
Championship Manager: Season 99/00,1999,Sports Interactive,Eidos,Sport
Championship Manager: Season 00/01,2000,Sports Interactive,Eidos,"Simulator, Sport, Strategy"
Championship Manager: Season 01/02,2001,Sports Interactive,Eidos,"Simulator, Sport"
Championship Manager Quiz,2001,King of the Jungle Ltd.,Eidos Interactive,"Sport, Quiz/Trivia"
Championship Manager 4,2003,Sports Interactive,Eidos Interactive,"Simulator, Sport, Strategy"
Championship Manager: Season 03/04,2003,Sports Interactive,Eidos Interactive,"Simulator, Sport"
Championship Manager 5,2005,Beautiful Game Studios,Eidos Interactive,"Simulator, Sport, Strategy"
Championship Manager 2006,2006,Beautiful Game Studios,Eidos Interactive,"Simulator, Sport"
Championship Manager 2007,2006,Beautiful Game Studios,Eidos Interactive,"Simulator, Sport"
Championship Manager 2008,2007,Beautiful Game Studios,Eidos Interactive,"Simulator, Sport"
Chaos;Child,2016,5pb.,5pb.,Adventure
Chaos;Head,2008,"5pb., Nitroplus",Nitroplus,"Adventure, Visual Novel"
Chaos League,2004,Cyanide,Digital Jesters,"Real Time Strategy (RTS), Sport, Strategy"
Chaos Legion,2003,Capcom Production Studio 6,Capcom,"Strategy, Adventure"
Chaos Overlords,1996,Stick Man Games,New World Computing,"Strategy, Turn-based strategy (TBS)"
Chariots of the Dogs,2008,Telltale Games,Telltale Games,"Point-and-click, Adventure"
Chariots of War,2003,Slitherine Software,Strategy First,Racing
Charlie and the Chocolate Factory,2005,High Voltage Software,Global Star Software,Adventure
Charlottes Web,2006,Backbone Entertainment,Sega,Adventure
Chaser,2003,Cauldron HQ,JoWooD Productions,Arcade
Chess Crusade,2008,Slam Games,"Destination Software, Zoo Digital Publishing","Simulator, Strategy"
Chess Mates,1995,Stepping Stone,Brainstorm,Strategy
Chessmaster 4000,1995,Johan De Koning,Software Toolworks,"Simulator, Sport, Strategy"
Chessmaster 5000,1996,Mindscape,Mindscape,"Sport, Strategy"
Chessmaster 6000,1996,Mindscape,Virgin Interactive Entertainment,"Sport, Strategy"
Chessmaster 7000,1999,Mindscape,Mindscape,"Sport, Turn-based strategy (TBS)"
Chessmaster 9000,2002,Ubisoft,Ubisoft,"Puzzle, Simulator, Strategy"
Chessmaster 10th Edition,2004,Ubisoft,Ubisoft,"Sport, Strategy, Quiz/Trivia"
Chessmaster Challenge,2005,"PlayFirst, Inc.","PlayFirst, Inc.",Strategy
Chessmaster: The Art of Learning,2007,Ubisoft,Ubisoft,"Puzzle, Sport, Strategy, Quiz/Trivia"
Chex Quest 3,2008,"Charles Jacobi, Scott Holman",,Shooter
Chicago 1930,2003,Spellbound Entertainment,Wanadoo Edition,"Role-playing (RPG), Strategy"
Chicken Little,2005,Avalanche Software,Buena Vista Games,"Shooter, Adventure"
Chicken Run,2000,Blitz Games,Eidos Interactive,"Shooter, Arcade"
Chicken Shoot,2003,Toontraxx,Zuxxez/TopWare Interactive,Indie
Chicory: A Colorful Tale,2020,Greg Lobanov,,"Role-playing (RPG), Adventure, Indie"
Chocolate Castle,2007,Lexaloffle,Lexaloffle,Puzzle
Chocolatier,2007,Big Splash Games LLC,PlayFirst,Simulator
Chocolatier: Decadence by Design,2009,Big Fish Games,PlayFirst,"Simulator, Strategy"
Chris Sawyers Locomotion,2004,Chris Sawyer,Atari,"Simulator, Strategy"
